128	124	0	20110715113139554
128	125	0	20110715113139984
128	124	0	20110715113140054
128	125	0	20110715113140704
128	124	0	20110715113140774
128	125	0	20110715113140885
128	124	0	20110715113140935
128	125	0	20110715113141455
128	124	0	20110715113141515
128	125	1	20110715113141775
128	124	1	20110715113141825
128	125	1	20110715113142035
128	124	1	20110715113142095
128	125	0	20110715113142975
128	124	0	20110715113143035
128	125	0	20110715113143185
128	124	0	20110715113143245
128	125	0	20110715113143295
128	124	0	20110715113143345
128	123	0	20110715113143405
128	124	0	20110715113143455
128	125	0	20110715113143655
